,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe,real_estate
38,交通社区居委会,3,1,0,堡镇,崇明区,121.615000395751,31.5434368736129,0.5833333333333333,POINT (121.615000395751 31.5434368736129),-1.326519186130521,-0.6596430702013605,-0.6706561871609847,-0.23756392390198353,very unhappy,-0.9939356435893337
41,众乐里居委会,2,1,1,江宁路街道,静安区,121.446789616547,31.2347919953543,0.8333333333333333,POINT (121.446789616547 31.2347919953543),0.8319926349701247,2.360028182063985,0.9461042640306747,1.3265215378129394,happy,0.620196609469009
42,伟业居委会,3,1,1,沪东新村街道,浦东新区,121.57911954603,31.2845291378095,0.9166666666666665,POINT (121.57911954603 31.2845291378095),-1.2174684686250352,-0.6596430702013605,-0.7305362038717867,-1.0196066547594451,very happy,-0.1658067543563494
43,佳木斯路三一五弄居委会,1,1,1,五角场镇,杨浦区,121.534568863062,31.297852523775,0.75,POINT (121.534568863062 31.297852523775),1.3772462224975532,-0.6596430702013605,-0.37125610360697364,-0.23756392390198353,very unhappy,-0.09427339776011885
44,侯黄桥社区居委会,3,1,0,嘉定镇街道,嘉定区,121.231667486165,31.3743961388707,0.5833333333333333,POINT (121.231667486165 31.3743961388707),-1.3161334035109509,-0.9951620982308435,-0.6706561871609847,-1.0196066547594451,very unhappy,-2.893088803596711
45,元丰花园居委会,3,1,1,北新泾街道,长宁区,121.374800250131,31.2195953377546,0.9166666666666665,POINT (121.374800250131 31.2195953377546),-0.7535701782842389,-0.4359637181817054,-0.4910161370285781,-0.23756392390198353,very happy,0.8597665909094072
47,兆庆居委会,2,1,1,提篮桥街道,虹口区,121.498237282124,31.2568522599239,0.8333333333333333,POINT (121.498237282124 31.2568522599239),0.6052363811095115,0.3469140138870878,-0.07185602005296265,-0.23756392390198353,happy,0.2610693217164765
49,光明社区居委会,2,1,0,堡镇,崇明区,121.610751852715,31.5345688297877,0.5,POINT (121.610751852715 31.5345688297877),-1.326519186130521,-0.9951620982308435,-0.7305362038717867,-0.23756392390198353,very unhappy,-0.9939356435893337
50,共富新村第五居委会,3,1,1,顾村镇,宝山区,121.423363615438,31.3473855974673,0.9166666666666665,POINT (121.423363615438 31.3473855974673),-1.125727388818833,-0.9951620982308435,-0.5508961537393803,-1.0196066547594451,very happy,-0.6227634024125596
51,共康八村一居委会,2,1,1,庙行镇,宝山区,121.428870038421,31.3261098187132,0.8333333333333333,POINT (121.428870038421 31.3261098187132),-0.6670219897878218,-1.107001774240671,-0.37125610360697364,-1.0196066547594451,happy,-0.5506695664531746
52,共康六村一居委会,3,1,1,庙行镇,宝山区,121.436393796336,31.329580726969,0.9166666666666665,POINT (121.436393796336 31.329580726969),0.16037869223792697,-0.6596430702013605,0.28742408021185056,-1.0196066547594451,very happy,-0.5493175074933281
53,共康四村第二居委会,3,1,1,彭浦新村街道,静安区,121.429496286724,31.3192593175634,0.9166666666666665,POINT (121.429496286724 31.3192593175634),-0.8331945117009428,-0.9951620982308435,-0.37125610360697364,-0.6285852893307142,very happy,-0.5239489399776153
54,凉城新村第一居委会,3,1,1,凉城新村街道,虹口区,121.471474570495,31.2925805324656,0.9166666666666665,POINT (121.471474570495 31.2925805324656),0.844109381359623,-0.21228436616205018,-0.25149607018536924,-0.23756392390198353,very happy,0.0038855866815763395
55,凉城新村第四居委会,3,1,1,凉城新村街道,虹口区,121.470228327775,31.2982741781108,0.9166666666666665,POINT (121.470228327775 31.2982741781108),0.7160180623849257,-0.8833224222210158,-0.25149607018536924,-0.23756392390198353,very happy,-0.017052225057482263
59,凌河路四居委会,3,1,1,浦兴路街道,浦东新区,121.589557094784,31.2786895591758,0.9166666666666665,POINT (121.589557094784 31.2786895591758),-1.1136106424293346,-0.7714827462111882,-0.6706561871609847,0.15345744152674717,very happy,0.45305309348332384
63,北翟路居委会,2,1,1,北新泾街道,长宁区,121.360085186682,31.2251334726316,0.8333333333333333,POINT (121.360085186682 31.2251334726316),-0.03522021376397598,-0.21228436616205018,-0.25149607018536924,-0.6285852893307142,happy,0.6687234875255224
66,华富居委会,2,1,1,漕河泾街道,徐汇区,121.438849971648,31.1753949722002,0.8333333333333333,POINT (121.438849971648 31.1753949722002),0.3473227793901882,0.011394985857605004,-0.4910161370285781,-0.23756392390198353,happy,1.3892795968259137
68,华松居委会,3,1,1,新泾镇,长宁区,121.353284827233,31.2124451384324,0.9166666666666665,POINT (121.353284827233 31.2124451384324),-0.36929622136014645,-0.4359637181817054,-0.4910161370285781,-0.6285852893307142,very happy,1.16948545010932
70,华浜居委会,2,1,1,淞南镇,宝山区,121.492534273637,31.3506431505609,0.8333333333333333,POINT (121.492534273637 31.3506431505609),-0.6912554825668185,-0.6596430702013605,-0.7305362038717867,-1.0196066547594451,happy,-0.5032396900424759
71,华阳路三居委会,2,1,1,华阳路街道,长宁区,121.419661886287,31.2246765396906,0.8333333333333333,POINT (121.419661886287 31.2246765396906),0.23481013434484577,0.45875368989691534,1.0658642974522792,3.281628364956593,happy,0.9403898391627579
72,华阳路二居委会,2,0,1,华阳路街道,长宁区,121.418177060622,31.2282570780017,0.5,POINT (121.418177060622 31.2282570780017),0.10844977914007661,-0.21228436616205018,0.8263442306090703,4.063671095814055,very unhappy,0.7324329927817884
73,华阴路居委会,2,1,0,宜川路街道,普陀区,121.440627226265,31.263440063708,0.5,POINT (121.440627226265 31.263440063708),0.6225460188087949,0.011394985857605004,0.28742408021185056,-0.23756392390198353,very unhappy,0.20452640405482278
74,南丹居委会,3,1,1,徐家汇街道,徐汇区,121.425687062508,31.1936445124842,0.9166666666666665,POINT (121.425687062508 31.1936445124842),0.2001908589462789,1.3534710979755362,2.8023847820655434,2.4995856340991316,very happy,1.163368467826818
75,南塘居委会,3,1,1,打浦桥街道,黄浦区,121.46764930597,31.205779277092,0.9166666666666665,POINT (121.46764930597 31.205779277092),1.3028147803906343,0.570593365906743,-0.13173603676376483,2.1085642686704005,very happy,1.3183662353960293
76,南天潼居委会,3,1,1,四川北路街道,虹口区,121.479316272927,31.2463397886504,0.9166666666666665,POINT (121.479316272927 31.2463397886504),0.5602313230913746,1.4653107739853637,4.658665300100411,2.1085642686704005,very happy,0.4750399665000339
82,叶家宅居委会,2,1,1,长寿路街道,普陀区,121.424506258057,31.2378461613712,0.8333333333333333,POINT (121.424506258057 31.2378461613712),0.47541409836488574,0.570593365906743,0.16766404679024619,1.3265215378129394,happy,0.6290879475461397
83,合一居委会,2,1,1,淮海中路街道,黄浦区,121.475255543408,31.2173917271465,0.8333333333333333,POINT (121.475255543408 31.2173917271465),0.9739316641042489,1.0179520699460534,1.604784447849499,0.15345744152674717,happy,0.9888987337312002
86,合阳居委会,2,1,0,甘泉路街道,普陀区,121.43522442047,31.2656438955493,0.5,POINT (121.43522442047 31.2656438955493),0.49272373606416914,-0.10044469015222258,-0.13173603676376483,-0.6285852893307142,very unhappy,0.15965515884952788
87,吉浦一居委会,2,1,0,五角场街道,杨浦区,121.487057065131,31.3085812631148,0.5,POINT (121.487057065131 31.3085812631148),1.9294236651046954,-0.21228436616205018,-0.5508961537393803,-0.6285852893307142,very unhappy,-0.046680922241601384
88,吉浦居委会,3,1,1,五角场街道,杨浦区,121.486435044541,31.3114725646072,0.9166666666666665,POINT (121.486435044541 31.3114725646072),2.3777432815161363,-0.547803394191533,-0.6706561871609847,-0.6285852893307142,very happy,-0.05299463463389372
89,吉祥居委会,2,1,1,四川北路街道,虹口区,121.483866444081,31.2681006608169,0.8333333333333333,POINT (121.483866444081 31.2681006608169),1.507068505242179,2.471867858073812,0.22754406350104836,0.5444788069554779,happy,0.3817010939237733
90,吉祥居委会,2,1,1,平凉路街道,杨浦区,121.515043531933,31.2585312159429,0.8333333333333333,POINT (121.515043531933 31.2585312159429),0.48060698967467075,0.011394985857605004,-0.5508961537393803,0.5444788069554779,happy,-0.008863847679456704
92,呼玛五村居委会,2,1,1,张庙街道,宝山区,121.43586644468,31.3453607460016,0.8333333333333333,POINT (121.43586644468 31.3453607460016),-0.6895245187968901,-0.7714827462111882,-0.9101762540041934,-1.0196066547594451,happy,-0.5652015149210046
94,和泰苑居委会,2,1,0,大场镇,宝山区,121.405924249204,31.3294025910568,0.5,POINT (121.405924249204 31.3294025910568),-1.125727388818833,-0.6596430702013605,-0.37125610360697364,-0.23756392390198353,very unhappy,-0.6279513288391496
95,嘉中社区居委会,3,1,0,嘉定镇街道,嘉定区,121.246424070414,31.3935261711959,0.5833333333333333,POINT (121.246424070414 31.3935261711959),-1.3230572585906641,-0.3241240421718778,0.22754406350104836,-0.6285852893307142,very unhappy,-3.301472170885617
99,国定一居委会,2,1,1,五角场街道,杨浦区,121.503809114598,31.3082623994902,0.8333333333333333,POINT (121.503809114598 31.3082623994902),1.240500084673214,0.12323466186743257,0.5269441470550594,0.9355001723842087,happy,-0.03683257608673547
100,国年居委会,2,1,1,五角场街道,杨浦区,121.505381748269,31.2932536840103,0.8333333333333333,POINT (121.505381748269 31.2932536840103),1.0674037076803793,-0.4359637181817054,-0.19161605347456706,0.9355001723842087,happy,0.18678206926787608
101,地方天园居委会,2,1,0,长寿路街道,普陀区,121.419246582963,31.2407351920755,0.5,POINT (121.419246582963 31.2407351920755),0.30231772137205126,0.9061123939362258,-0.25149607018536924,0.9355001723842087,very unhappy,0.6210798052428963
103,城西居委会,3,1,1,杨行镇,宝山区,121.438999205149,31.4075400548297,0.9166666666666665,POINT (121.438999205149 31.4075400548297),-1.246894852713817,-1.107001774240671,-0.9700562707149956,-1.0196066547594451,very happy,-0.8905622601898844
109,复兴居委会,2,1,1,淮海中路街道,黄浦区,121.470434313892,31.217398517028,0.8333333333333333,POINT (121.470434313892 31.217398517028),0.7246728812345673,0.7942727179263982,1.2455043475846859,0.15345744152674717,happy,1.0804698192361515
111,复兴岛居委会,3,1,1,定海路街道,杨浦区,121.558199209925,31.2867773439992,0.9166666666666665,POINT (121.558199209925 31.2867773439992),-0.6947174101066752,-1.107001774240671,-0.9700562707149956,-1.0196066547594451,very happy,0.007641922587141434
112,大华三村五居委会,2,1,0,大场镇,宝山区,121.410092864993,31.2856583886238,0.5,POINT (121.410092864993 31.2856583886238),0.15691676469807023,-0.6596430702013605,-0.37125610360697364,-0.6285852893307142,very unhappy,-0.054990785211379324
113,大华四村第五居委会,3,1,0,大场镇,宝山区,121.404209448007,31.283645623147,0.5833333333333333,POINT (121.404209448007 31.283645623147),0.24346495319448752,-0.4359637181817054,-0.4910161370285781,-1.0196066547594451,very unhappy,0.008786461407354756
114,大华四村第六居委会,3,1,1,大场镇,宝山区,121.401011060412,31.280088548148,0.9166666666666665,POINT (121.401011060412 31.280088548148),-0.06291563408282949,-0.547803394191533,-0.31137608689617147,-1.0196066547594451,very happy,0.028227601963111568
115,大唐花园居委会,2,1,0,顾村镇,宝山区,121.397349205401,31.3438717591744,0.5,POINT (121.397349205401 31.3438717591744),-1.2278542512446056,-0.7714827462111882,-0.5508961537393803,-1.0196066547594451,very unhappy,-0.7314033530852244
117,大统居委会,2,1,1,芷江西路街道,静安区,121.45568187282,31.2569754382658,0.8333333333333333,POINT (121.45568187282 31.2569754382658),0.4840689172145274,0.45875368989691534,0.16766404679024619,-0.23756392390198353,happy,0.3289619660475565
118,大连新村第二居委会,3,1,1,欧阳路街道,虹口区,121.487996798213,31.2751162801922,0.9166666666666665,POINT (121.487996798213 31.2751162801922),1.6143882589777363,1.2416314219657085,-0.19161605347456706,1.71754290324167,very happy,0.31517590005113444
119,大连西路四弄居委会,3,1,1,四平路街道,杨浦区,121.496218375177,31.280042761864,0.9166666666666665,POINT (121.496218375177 31.280042761864),1.8913424621662716,0.9061123939362258,-0.37125610360697364,1.71754290324167,very happy,0.365570340814973
120,天原二村居委会,3,1,0,仙霞新村街道,长宁区,121.38592944139,31.2150598417383,0.5833333333333333,POINT (121.38592944139 31.2150598417383),-0.5891286201410462,-0.3241240421718778,-0.25149607018536924,-0.23756392390198353,very unhappy,1.0093417552381856
121,天钥新村第三居委会,3,1,1,枫林路街道,徐汇区,121.443156665747,31.1878363705521,0.9166666666666665,POINT (121.443156665747 31.1878363705521),0.9929722655734606,1.2416314219657085,-0.011976003342160441,0.9355001723842087,very happy,1.3073445427708592
122,天馨花园第一居委会,2,1,1,杨行镇,宝山区,121.426125248181,31.365110795227,0.8333333333333333,POINT (121.426125248181 31.365110795227),-1.0634126931014125,-0.7714827462111882,-0.4311361203177759,-1.0196066547594451,happy,-0.6690093412715075
123,天马社区居委会,2,1,1,马陆镇,嘉定区,121.28167212207,31.3361120524293,0.8333333333333333,POINT (121.28167212207 31.3361120524293),-1.321326294820736,-0.4359637181817054,-0.7305362038717867,-1.0196066547594451,happy,-1.9588051925177279
125,好日子大家园第二居委会,3,1,1,顾村镇,宝山区,121.3561427333,31.3535919762887,0.9166666666666665,POINT (121.3561427333 31.3535919762887),-1.1447679902880448,-0.8833224222210158,-0.8502962372933912,-1.0196066547594451,very happy,-0.8992358001917887
127,威宁居委会,3,1,1,仙霞新村街道,长宁区,121.381427854312,31.2105263395189,0.9166666666666665,POINT (121.381427854312 31.2105263395189),-0.6393265694689682,-0.547803394191533,-0.31137608689617147,-0.23756392390198353,very happy,1.1668699196169112
128,娄塘社区居委会,1,1,0,徐行镇,嘉定区,121.211117730099,31.4302241638141,0.41666666666666663,POINT (121.211117730099 31.4302241638141),-1.326519186130521,-0.7714827462111882,-0.8502962372933912,-1.0196066547594451,very unhappy,-0.6473451543100824
130,安图新村居委会,3,1,1,长白新村街道,杨浦区,121.537107193242,31.2924166867807,0.9166666666666665,POINT (121.537107193242 31.2924166867807),1.7442105417223626,-0.547803394191533,-0.5508961537393803,0.5444788069554779,very happy,-0.09277826478513342
131,宛南六村居委会,4,1,1,枫林路街道,徐汇区,121.441752761081,31.1813857826278,1.0,POINT (121.441752761081 31.1813857826278),0.7177490261548538,0.7942727179263982,-0.13173603676376483,0.9355001723842087,very happy,0.9686938717811602
132,宝宸怡景园居委会,3,1,1,庙行镇,宝山区,121.42988148794,31.3329153123918,0.9166666666666665,POINT (121.42988148794 31.3329153123918),-0.7068341564961735,-0.9951620982308435,-0.4910161370285781,-1.0196066547594451,very happy,-0.5570782218510758
133,宝宸怡景园居委会,3,1,1,庙行镇,宝山区,121.42988148794,31.3329153123918,0.9166666666666665,POINT (121.42988148794 31.3329153123918),-0.7068341564961735,-0.9951620982308435,-0.4910161370285781,-1.0196066547594451,very happy,-0.5570782218510758
134,宝杨路二零二一弄居委会,3,1,1,杨行镇,宝山区,121.459723037588,31.3921055040657,0.9166666666666665,POINT (121.459723037588 31.3921055040657),-1.286707019422169,-0.9951620982308435,-0.9700562707149956,-1.0196066547594451,very happy,-0.8043684408429412
